#Top: ios   Floorplan: io_1   Part: xc7a35tfgg484-1,,,,,,,,,,,,
#Generated by: kremerme   on: Mon Mar  8 10:36:28 2021,,,,,,,,,,,,
#Build: Vivado v2020.2   by: xbuild   on: Wed Nov 18 09:12:47 MST 2020,,,,,,,,,,,,
#Package Version: FINAL 2013-11-27,,,,,,,,,,,,
#Package Pin Delay Version: VERS. 2.0 2013-11-27,,,,,down 100,,,,,,,
,,,,maybe,maybe,,,,,,,
IO Bank,LEAD,Pin Name,Pin Number,"X, pos","Y, Pos",const,"U,D,L,R",const,const,sheet?,const,type
15,X,IO_L16P_T2_A28_15,M18,500,-3100,100,L,50,50,5,0,I
15,X,IO_L16N_T2_A27_15,L18,500,-3200,100,L,50,50,5,0,I
15,X,IO_L17P_T2_A26_15,N18,500,-3300,100,L,50,50,5,0,I
15,X,IO_L17N_T2_A25_15,N19,500,-3400,100,L,50,50,5,0,I
15,X,IO_L18P_T2_A24_15,N20,500,-3500,100,L,50,50,5,0,I
15,X,IO_L18N_T2_A23_15,M20,500,-3600,100,L,50,50,5,0,I
15,X,IO_L19P_T3_A22_15,K13,500,-3700,100,L,50,50,5,0,I
15,X,IO_L19N_T3_A21_VREF_15,K14,500,-3800,100,L,50,50,5,0,I
15,X,IO_L20P_T3_A20_15,M13,500,-3900,100,L,50,50,5,0,I
15,X,IO_L20N_T3_A19_15,L13,500,-4000,100,L,50,50,5,0,I
15,X,IO_L21P_T3_DQS_15,K17,500,-4100,100,L,50,50,5,0,I
15,X,IO_L21N_T3_DQS_A18_15,J17,500,-4200,100,L,50,50,5,0,I
15,X,IO_L22P_T3_A17_15,L14,500,-4300,100,L,50,50,5,0,I
15,X,IO_L22N_T3_A16_15,L15,500,-4400,100,L,50,50,5,0,I
15,X,IO_L23P_T3_FOE_B_15,L16,500,-4500,100,L,50,50,5,0,I
15,X,IO_L23N_T3_FWE_B_15,K16,500,-4600,100,L,50,50,5,0,I
15,X,IO_L24P_T3_RS1_15,M15,500,-4700,100,L,50,50,5,0,I
15,X,IO_L24N_T3_RS0_15,M16,500,-4800,100,L,50,50,5,0,I
15,X,IO_25_15,M17,500,-4900,100,L,50,50,5,0,I
15,X,VCCO_15,G19,500,-5000,100,D,50,50,5,0,W
15,X,VCCO_15,H16,500,-5100,100,D,50,50,5,0,W
15,X,VCCO_15,J13,500,-5200,100,D,50,50,5,0,W
15,X,VCCO_15,K20,500,-5300,100,D,50,50,5,0,W
15,X,VCCO_15,L17,500,-5400,100,D,50,50,5,0,W
15,X,VCCO_15,N21,500,-5500,100,D,50,50,5,0,W
16,X,IO_0_16,F15,500,0,100,L,50,50,6,0,I
16,X,IO_L1P_T0_16,F13,500,-100,100,L,50,50,6,0,I
16,X,IO_L1N_T0_16,F14,500,-200,100,L,50,50,6,0,I
16,X,IO_L2P_T0_16,F16,500,-300,100,L,50,50,6,0,I
16,X,IO_L2N_T0_16,E17,500,-400,100,L,50,50,6,0,I
16,X,IO_L3P_T0_DQS_16,C14,500,-500,100,L,50,50,6,0,I
16,X,IO_L3N_T0_DQS_16,C15,500,-600,100,L,50,50,6,0,I
16,X,IO_L4P_T0_16,E13,500,-700,100,L,50,50,6,0,I
16,X,IO_L4N_T0_16,E14,500,-800,100,L,50,50,6,0,I
16,X,IO_L5P_T0_16,E16,500,-900,100,L,50,50,6,0,I
16,X,IO_L5N_T0_16,D16,500,-1000,100,L,50,50,6,0,I
16,X,IO_L6P_T0_16,D14,500,-1100,100,L,50,50,6,0,I
16,X,IO_L6N_T0_VREF_16,D15,500,-1200,100,L,50,50,6,0,I
16,X,IO_L7P_T1_16,B15,500,-1300,100,L,50,50,6,0,I
16,X,IO_L7N_T1_16,B16,500,-1400,100,L,50,50,6,0,I
16,X,IO_L8P_T1_16,C13,500,-1500,100,L,50,50,6,0,I
16,X,IO_L8N_T1_16,B13,500,-1600,100,L,50,50,6,0,I
16,X,IO_L9P_T1_DQS_16,A15,500,-1700,100,L,50,50,6,0,I
16,X,IO_L9N_T1_DQS_16,A16,500,-1800,100,L,50,50,6,0,I
16,X,IO_L10P_T1_16,A13,500,-1900,100,L,50,50,6,0,I
16,X,IO_L10N_T1_16,A14,500,-2000,100,L,50,50,6,0,I
16,X,IO_L11P_T1_SRCC_16,B17,500,-2100,100,L,50,50,6,0,I
16,X,IO_L11N_T1_SRCC_16,B18,500,-2200,100,L,50,50,6,0,I
16,X,IO_L12P_T1_MRCC_16,D17,500,-2300,100,L,50,50,6,0,I
16,X,IO_L12N_T1_MRCC_16,C17,500,-2400,100,L,50,50,6,0,I
16,X,IO_L13P_T2_MRCC_16,C18,500,-2500,100,L,50,50,6,0,I
16,X,IO_L13N_T2_MRCC_16,C19,500,-2600,100,L,50,50,6,0,I
